checkpoint,run_dir,category,endpoint_count,worst_slack_ns,accumulated_negative_slack_ns,mean_routing_fraction
A0,build/vivado_sweep/updated_qat_po2_low_dsp_route_default,CLOCK_SKEW,100,-1.796,176.312,
A1_initial,build/vivado_sweep/updated_qat_partitioned_baseline_route_default,CLOCK_SKEW,100,-1.837,174.623,
V1,build/vivado_sweep/qat_dsp_V1_route_default,FABRIC_MULTIPLIER,35,-0.224,5.039,0.6988
V1,build/vivado_sweep/qat_dsp_V1_route_default,DSP_INPUT,63,-0.214,9.408,0.794
V1,build/vivado_sweep/qat_dsp_V1_route_default,CARRY_REDUCTION,2,-0.163,0.301,0.6166
V2,build/vivado_sweep/qat_dsp_V2_route_default,DSP_INPUT,74,-0.168,9.41,0.7769
V2,build/vivado_sweep/qat_dsp_V2_route_default,FABRIC_MULTIPLIER,20,-0.161,2.449,0.6815
V2,build/vivado_sweep/qat_dsp_V2_route_default,CARRY_REDUCTION,4,-0.155,0.579,0.6662
V2,build/vivado_sweep/qat_dsp_V2_route_default,REGISTER_ROUTING,1,-0.137,0.137,0.9661
V2,build/vivado_sweep/qat_dsp_V2_route_default,AGGREGATION,1,-0.12,0.12,0.9665
V3,build/vivado_sweep/qat_dsp_V3_route_default,DSP_INPUT,74,-0.167,7.652,0.7757
V3,build/vivado_sweep/qat_dsp_V3_route_default,CARRY_REDUCTION,5,-0.135,0.523,0.6295
V3,build/vivado_sweep/qat_dsp_V3_route_default,AGGREGATION,3,-0.127,0.315,0.9661
V3,build/vivado_sweep/qat_dsp_V3_route_default,FABRIC_MULTIPLIER,16,-0.116,1.481,0.6696
V3,build/vivado_sweep/qat_dsp_V3_route_default,HIGH_FANOUT_CONTROL,2,-0.103,0.199,0.8213
V4,build/vivado_sweep/qat_dsp_V4_route_default,DSP_INPUT,79,-0.25,16.302,0.777
V4,build/vivado_sweep/qat_dsp_V4_route_default,REGISTER_ROUTING,2,-0.241,0.468,0.9673
V4,build/vivado_sweep/qat_dsp_V4_route_default,FABRIC_MULTIPLIER,16,-0.225,3.142,0.7116
V4,build/vivado_sweep/qat_dsp_V4_route_default,AGGREGATION,3,-0.214,0.623,0.9669
A2_selective_dsp,build/vivado_sweep/qat_dsp_V2A1_route_default,FABRIC_MULTIPLIER,98,-0.098,5.459,0.7462
A2_selective_dsp,build/vivado_sweep/qat_dsp_V2A1_route_default,AGGREGATION,1,-0.067,0.067,0.9669
A2_selective_dsp,build/vivado_sweep/qat_dsp_V2A1_route_default,REGISTER_ROUTING,1,-0.052,0.052,0.9654
A3,build/vivado_sweep/qat_dsp_A3_route_default,FABRIC_MULTIPLIER,93,0.0,0.0,0.7283
A3,build/vivado_sweep/qat_dsp_A3_route_default,HIGH_FANOUT_CONTROL,6,0.005,0.0,0.8065
A3,build/vivado_sweep/qat_dsp_A3_route_default,REGISTER_ROUTING,1,0.044,0.0,0.9638
A4_post_pipeline_cut,build/vivado_sweep/qat_dsp_V2A1_allcut_route_default,OTHER,2,-0.029,0.032,0.8633
A4_post_pipeline_cut,build/vivado_sweep/qat_dsp_V2A1_allcut_route_default,FABRIC_MULTIPLIER,90,-0.018,0.057,0.7088
A4_post_pipeline_cut,build/vivado_sweep/qat_dsp_V2A1_allcut_route_default,HIGH_FANOUT_CONTROL,8,-0.008,0.008,0.8236
A5_final,build/vivado_sweep/qat_dsp_V2A1_allcut_ssi_retime_route,FABRIC_MULTIPLIER,62,0.007,0.0,0.7212
A5_final,build/vivado_sweep/qat_dsp_V2A1_allcut_ssi_retime_route,HIGH_FANOUT_CONTROL,33,0.028,0.0,0.8503
A5_final,build/vivado_sweep/qat_dsp_V2A1_allcut_ssi_retime_route,DSP_INPUT,5,0.068,0.0,0.9594
