layer,branch,channel,endpoint_count,worst_slack_ns,accumulated_negative_slack_ns
L1,neighbor,18,3,0.007,0.0
L1,neighbor,23,1,0.011,0.0
L1,neighbor,4,1,0.027,0.0
L1,neighbor,11,6,0.033,0.0
L1,neighbor,0,7,0.049,0.0
L1,neighbor,16,4,0.05,0.0
L1,neighbor,3,4,0.051,0.0
L1,neighbor,12,3,0.055,0.0
L1,neighbor,13,2,0.063,0.0
L1,neighbor,7,4,0.063,0.0
L1,neighbor,6,2,0.063,0.0
L2,neighbor,6,1,0.064,0.0
L1,neighbor,14,3,0.065,0.0
L2,neighbor,0,1,0.071,0.0
L1,root,18,1,0.073,0.0
L1,neighbor,10,2,0.074,0.0
L1,root,22,1,0.074,0.0
L1,root,12,1,0.078,0.0
L1,root,13,1,0.081,0.0
