pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454,17320,6237,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198,18119,6515,0,"",""
l1_root_channel,grp_l1_root_channel_false_11_true_s_fu_4314,2466,6248,0,"",""
l1_root_channel,grp_l1_root_channel_false_12_true_s_fu_4446,2831,6385,0,"",""
l1_root_channel,grp_l1_root_channel_false_13_true_s_fu_4570,2080,6008,0,"",""
l1_root_channel,grp_l1_root_channel_false_14_true_s_fu_4702,1864,5544,0,"",""
l1_root_channel,grp_l1_root_channel_false_15_true_s_fu_4826,2985,6279,0,"",""
l1_root_channel,grp_l1_root_channel_false_16_true_s_fu_4958,1736,3592,0,"",""
l1_root_channel,grp_l1_root_channel_false_17_true_s_fu_5066,1968,6808,0,"",""
l1_root_channel,grp_l1_root_channel_false_18_true_s_fu_3330,11817,6617,0,"",""
l1_root_channel,grp_l1_root_channel_false_19_true_s_fu_5198,2000,5480,0,"",""
l1_root_channel,grp_l1_root_channel_false_20_true_s_fu_5322,2001,6537,0,"",""
l1_root_channel,grp_l1_root_channel_false_22_true_s_fu_5446,1856,5796,0,"",""
l1_root_channel,grp_l1_root_channel_false_23_true_s_fu_5570,2080,6880,0,"",""
l1_root_channel,grp_l1_root_channel_false_2_true_s_fu_3578,2014,6213,0,"",""
l1_root_channel,grp_l1_root_channel_false_3_true_s_fu_3702,2739,6341,0,"",""
l1_root_channel,grp_l1_root_channel_false_4_true_s_fu_3826,3620,6033,0,"",""
l1_root_channel,grp_l1_root_channel_false_5_true_s_fu_3950,1863,6191,0,"",""
l1_root_channel,grp_l1_root_channel_false_6_true_s_fu_4074,3484,5981,0,"",""
l1_root_channel,grp_l1_root_channel_false_7_true_s_fu_4190,1992,6640,0,"",""
l1_root_channel,grp_l1_root_channel_false_8_true_s_fu_3066,21892,7652,72,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U100,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U101,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U102,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U103,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U104,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U97,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U98,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/add_18s_18s_18_2_0_U99,18,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_5s_13_4_0_U12,392,26,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_5s_13_4_0_U20,0,19,0,"",""
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454/mul_8s_5s_13_4_0_U28,0,19,0,"",""
