pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_0_true_s_fu_3454,17320,6237,0,,
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198,18119,6515,0,,
l1_root_channel,grp_l1_root_channel_false_11_true_s_fu_4314,2466,6248,0,,
l1_root_channel,grp_l1_root_channel_false_12_true_s_fu_4446,2831,6385,0,,
l1_root_channel,grp_l1_root_channel_false_13_true_s_fu_4570,2080,6008,0,,
l1_root_channel,grp_l1_root_channel_false_14_true_s_fu_4702,1864,5544,0,,
l1_root_channel,grp_l1_root_channel_false_15_true_s_fu_4826,2985,6279,0,,
l1_root_channel,grp_l1_root_channel_false_16_true_s_fu_4958,1736,3592,0,,
l1_root_channel,grp_l1_root_channel_false_17_true_s_fu_5066,1968,6808,0,,
l1_root_channel,grp_l1_root_channel_false_18_true_s_fu_3330,11817,6617,0,,
l1_root_channel,grp_l1_root_channel_false_19_true_s_fu_5198,2000,5480,0,,
l1_root_channel,grp_l1_root_channel_false_20_true_s_fu_5322,2001,6537,0,,
l1_root_channel,grp_l1_root_channel_false_22_true_s_fu_5446,1856,5796,0,,
l1_root_channel,grp_l1_root_channel_false_23_true_s_fu_5570,2080,6880,0,,
l1_root_channel,grp_l1_root_channel_false_2_true_s_fu_3578,2014,6213,0,,
l1_root_channel,grp_l1_root_channel_false_3_true_s_fu_3702,2739,6341,0,,
l1_root_channel,grp_l1_root_channel_false_4_true_s_fu_3826,3620,6033,0,,
l1_root_channel,grp_l1_root_channel_false_5_true_s_fu_3950,1863,6191,0,,
l1_root_channel,grp_l1_root_channel_false_6_true_s_fu_4074,3484,5981,0,,
l1_root_channel,grp_l1_root_channel_false_7_true_s_fu_4190,1992,6640,0,,
l1_root_channel,grp_l1_root_channel_false_8_true_s_fu_3066,21892,7652,72,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_0_true_s_fu_5694,2689,6647,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_10_true_s_fu_6686,3487,5710,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_11_true_s_fu_6818,2469,6676,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_13_true_s_fu_7074,2068,6285,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_14_true_s_fu_7206,1848,5967,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_15_true_s_fu_7330,2867,5850,72,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_16_true_s_fu_7462,27576,5180,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_17_true_s_fu_7578,2064,6561,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_18_true_s_fu_7710,3762,5956,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_19_true_s_fu_7834,1859,6003,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_20_true_s_fu_7958,3606,6512,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_22_true_s_fu_8090,11601,6575,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_23_true_s_fu_8214,19611,6985,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_3_true_s_fu_5942,1888,5649,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_4_true_s_fu_6058,1752,5880,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_5_true_s_fu_6182,1828,6311,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_6_true_s_fu_6306,1784,5977,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_7_true_s_fu_6430,1886,6129,0,,
l1_neighbor_channel,grp_l1_neighbor_channel_false_8_true_s_fu_6554,1880,5880,72,,
l1_neighbor_channel,grp_l1_neighbor_channel_true_12_true_s_fu_6950,1280,3463,576,,
l1_neighbor_channel,grp_l1_neighbor_channel_true_2_true_s_fu_5818,2251,3888,432,,
l2_root_channel,grp_l2_root_channel_false_0_true_s_fu_8338,20258,10239,0,,
l2_root_channel,grp_l2_root_channel_false_1_true_s_fu_8510,6408,9030,0,,
l2_root_channel,grp_l2_root_channel_false_2_true_s_fu_8682,3187,7532,0,,
l2_root_channel,grp_l2_root_channel_false_3_true_s_fu_8854,2539,8185,0,,
l2_root_channel,grp_l2_root_channel_false_4_true_s_fu_9026,2574,8199,0,,
l2_root_channel,grp_l2_root_channel_false_5_true_s_fu_9198,3691,7711,0,,
l2_root_channel,grp_l2_root_channel_false_6_true_s_fu_9370,4481,8115,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_0_true_s_fu_9542,2795,7693,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_1_true_s_fu_9714,4329,8392,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_2_true_s_fu_9886,2760,8692,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_3_true_s_fu_10058,6865,9516,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_4_true_s_fu_10230,3008,9000,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_5_true_s_fu_10402,24148,12088,0,,
l2_neighbor_channel,grp_l2_neighbor_channel_false_6_true_s_fu_10574,2160,7937,0,,
